l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
251.396, 32.2226, -252.15, 148.357, 210.692, -270.001, -153.604, 266.049, -252.15, -256.643, -23.1355, -270.001, -153.604, -201.604, -252.15, 148.357, -256.962, -269.999, 
250.792, 33.269, -253.612, 148.945, 209.673, -270.001, -154.208, 267.096, -253.612, -256.055, -24.1538, -270.001, -154.208, -200.558, -253.612, 148.945, -257.98, -269.999, 
250.233, 34.2373, -255.006, 149.514, 208.689, -270.001, -154.767, 268.064, -255.006, -255.487, -25.1382, -270.001, -154.767, -199.59, -255.006, 149.513, -258.965, -269.999, 
249.646, 35.2548, -256.515, 150.141, 207.603, -270.001, -155.354, 269.081, -256.515, -254.86, -26.224, -270.001, -155.354, -198.572, -256.515, 150.14, -260.051, -269.999, 
249.129, 36.1496, -257.878, 150.722, 206.596, -270.001, -155.871, 269.976, -257.878, -254.278, -27.2313, -270.001, -155.871, -197.677, -257.878, 150.722, -261.058, -269.999, 
248.624, 37.0233, -259.242, 151.323, 205.555, -270.001, -156.375, 270.85, -259.242, -253.677, -28.2717, -270.001, -156.375, -196.803, -259.242, 151.323, -262.098, -269.999, 
248.083, 37.9618, -260.743, 152.013, 204.36, -270.001, -156.917, 271.788, -260.743, -252.988, -29.4668, -270.001, -156.917, -195.865, -260.743, 152.013, -263.293, -269.999, 
247.557, 38.8729, -262.236, 152.739, 203.102, -270.001, -157.443, 272.699, -262.236, -252.261, -30.7253, -270.001, -157.443, -194.954, -262.236, 152.739, -264.552, -269.999, 
247.176, 39.5321, -263.339, 153.31, 202.113, -270.001, -157.824, 273.359, -263.339, -251.69, -31.7143, -270.001, -157.824, -194.295, -263.339, 153.31, -265.541, -269.999, 
246.845, 40.105, -264.312, 153.847, 201.184, -270.001, -158.154, 273.932, -264.312, -251.154, -32.6433, -270.001, -158.154, -193.722, -264.312, 153.846, -266.47, -269.999, 
246.472, 40.7523, -265.429, 154.512, 200.031, -270.001, -158.528, 274.579, -265.429, -250.488, -33.7956, -270.001, -158.528, -193.074, -265.429, 154.512, -267.622, -269.999, 
246.123, 41.3554, -266.485, 155.211, 198.821, -270.001, -158.876, 275.182, -266.485, -249.79, -35.0057, -270.001, -158.876, -192.471, -266.485, 155.21, -268.832, -269.999, 
245.753, 41.9969, -267.626, 156.084, 197.309, -270.001, -159.247, 275.823, -267.626, -248.916, -36.518, -270.001, -159.247, -191.83, -267.626, 156.083, -270.344, -269.999, 
245.456, 42.5107, -268.552, 156.954, 195.801, -270.001, -159.543, 276.337, -268.552, -248.046, -38.0257, -270.001, -159.543, -191.316, -268.552, 156.954, -271.852, -269.999, 
245.244, 42.8778, -269.221, 157.773, 194.384, -270.001, -159.755, 276.704, -269.221, -247.228, -39.443, -270.001, -159.755, -190.949, -269.221, 157.772, -273.27, -269.999, 
245.105, 43.1197, -269.665, 158.542, 193.051, -270.001, -159.895, 276.946, -269.665, -246.458, -40.7759, -270.001, -159.895, -190.707, -269.665, 158.542, -274.602, -269.999, 
245.035, 43.2397, -269.886, 159.151, 191.996, -270.001, -159.964, 277.066, -269.886, -245.849, -41.8314, -270.001, -159.964, -190.587, -269.886, 159.151, -275.658, -269.999, 
245.004, 43.2943, -269.987, 159.714, 191.021, -270.001, -159.996, 277.121, -269.986, -245.286, -42.8062, -270.001, -159.996, -190.533, -269.986, 159.714, -276.633, -269.999, 
245.326, 42.7367, -269.999, 159.995, 190.535, -269.984, -159.674, 276.564, -270.001, -245.005, -43.2922, -269.984, -159.674, -191.09, -269.999, 159.995, -277.119, -269.982, 
245.865, 41.8032, -269.999, 159.963, 190.59, -269.883, -159.135, 275.63, -270.001, -245.037, -43.2374, -269.883, -159.135, -192.024, -269.999, 159.963, -277.065, -269.883, 
246.443, 40.8021, -269.999, 159.897, 190.703, -269.673, -158.557, 274.629, -270.001, -245.103, -43.1235, -269.673, -158.557, -193.025, -269.999, 159.898, -276.951, -269.673, 
247.013, 39.8143, -269.999, 159.8, 190.872, -269.364, -157.987, 273.641, -270.001, -245.2, -42.9553, -269.364, -157.987, -194.012, -269.999, 159.8, -276.783, -269.364, 
247.71, 38.6069, -269.999, 159.638, 191.152, -268.852, -157.29, 272.434, -270.001, -245.362, -42.675, -268.852, -157.29, -195.22, -269.999, 159.639, -276.502, -268.852, 
248.373, 37.4588, -269.999, 159.441, 191.495, -268.231, -156.627, 271.286, -270.001, -245.56, -42.3324, -268.231, -156.627, -196.368, -269.999, 159.441, -276.16, -268.231, 
248.928, 36.497, -269.999, 159.242, 191.838, -267.613, -156.072, 270.324, -270.001, -245.758, -41.9889, -267.613, -156.071, -197.33, -269.999, 159.242, -275.816, -267.613, 
249.632, 35.2789, -269.999, 158.949, 192.346, -266.708, -155.369, 269.106, -270.001, -246.051, -41.4806, -266.708, -155.368, -198.548, -269.999, 158.949, -275.308, -266.708, 
250.275, 34.1648, -269.999, 158.64, 192.882, -265.765, -154.725, 267.992, -270.001, -246.361, -40.9447, -265.765, -154.725, -199.662, -269.999, 158.64, -274.772, -265.765, 
251.05, 32.8225, -269.999, 158.216, 193.617, -264.494, -153.95, 266.65, -270.001, -246.785, -40.2103, -264.494, -153.95, -201.004, -269.999, 158.216, -274.037, -264.494, 
251.907, 31.337, -269.999, 157.682, 194.54, -262.927, -153.093, 265.164, -270.001, -247.318, -39.2866, -262.927, -153.092, -202.49, -269.999, 157.682, -273.114, -262.927, 
252.87, 29.6696, -269.999, 157.005, 195.713, -260.991, -152.13, 263.497, -270.001, -247.995, -38.114, -260.991, -152.13, -204.157, -269.999, 157.005, -271.941, -260.991, 
253.622, 28.3664, -269.999, 156.42, 196.727, -259.364, -151.378, 262.194, -270.001, -248.58, -37.1003, -259.364, -151.377, -205.46, -269.999, 156.42, -270.927, -259.364, 
254.457, 26.9209, -269.999, 155.715, 197.948, -257.463, -150.543, 260.748, -270.001, -249.285, -35.879, -257.463, -150.543, -206.906, -269.999, 155.715, -269.706, -257.463, 
255.28, 25.4949, -269.999, 154.963, 199.249, -255.507, -149.72, 259.322, -270.001, -250.037, -34.5775, -255.507, -149.719, -208.332, -269.999, 154.963, -268.405, -255.507, 
255.959, 24.3195, -269.999, 154.304, 200.392, -253.849, -149.041, 258.147, -270.001, -250.696, -33.435, -253.849, -149.041, -209.507, -269.999, 154.304, -267.262, -253.849, 
256.684, 23.0646, -269.999, 153.561, 201.679, -252.049, -148.317, 256.892, -270.001, -251.439, -32.1483, -252.049, -148.316, -210.762, -269.999, 153.561, -265.975, -252.049, 
257.452, 21.7336, -269.999, 152.731, 203.116, -250.121, -147.548, 255.561, -270.001, -252.269, -30.7107, -250.121, -147.548, -212.093, -269.999, 152.731, -264.538, -250.121, 
258.096, 20.6181, -269.999, 152.003, 204.376, -248.504, -146.904, 254.445, -270.001, -252.997, -29.4507, -248.504, -146.904, -213.209, -269.999, 152.003, -263.278, -248.504, 
258.72, 19.5367, -269.999, 151.272, 205.644, -246.945, -146.28, 253.364, -270.001, -253.729, -28.1831, -246.945, -146.279, -214.29, -269.999, 151.272, -262.01, -246.945, 
259.466, 18.2447, -269.999, 150.364, 207.215, -245.109, -145.534, 252.072, -270.001, -254.636, -26.6118, -245.109, -145.533, -215.582, -269.999, 150.364, -260.439, -245.109, 
260.284, 16.8291, -269.999, 149.332, 209.004, -243.146, -144.716, 250.656, -270.001, -255.668, -24.8235, -243.146, -144.716, -216.998, -269.999, 149.332, -258.651, -243.146, 
260.985, 15.6136, -269.999, 148.415, 210.592, -241.518, -144.015, 249.441, -270.001, -256.585, -23.2354, -241.518, -144.014, -218.213, -269.999, 148.415, -257.062, -241.518, 
261.611, 14.5303, -269.999, 147.576, 212.045, -240.122, -143.389, 248.357, -270.001, -257.424, -21.7819, -240.122, -143.389, -219.296, -269.999, 147.576, -255.609, -240.122, 
262.264, 13.3994, -269.999, 146.679, 213.598, -238.73, -142.736, 247.227, -270.001, -258.321, -20.2288, -238.73, -142.736, -220.427, -269.999, 146.679, -254.056, -238.73, 
262.888, 12.3186, -269.999, 145.804, 215.115, -237.471, -142.112, 246.146, -270.001, -259.197, -18.7124, -237.47, -142.112, -221.508, -269.999, 145.804, -252.539, -237.47, 
263.58, 11.1203, -269.999, 144.814, 216.829, -236.164, -141.42, 244.947, -270.001, -260.187, -16.9977, -236.164, -141.42, -222.706, -269.999, 144.814, -250.825, -236.164, 
264.47, 9.57731, -269.999, 143.512, 219.084, -234.638, -140.53, 243.404, -270.001, -261.488, -14.7433, -234.638, -140.529, -224.249, -269.999, 143.512, -248.57, -234.638, 
265.126, 8.44173, -269.999, 142.537, 220.773, -233.636, -139.874, 242.269, -270.001, -262.463, -13.054, -233.636, -139.874, -225.385, -269.999, 142.537, -246.881, -233.636, 
265.817, 7.2444, -269.999, 141.495, 222.578, -232.7, -139.183, 241.071, -270.001, -263.506, -11.2489, -232.7, -139.182, -226.582, -269.999, 141.495, -245.076, -232.7, 
266.562, 5.95491, -269.999, 140.359, 224.546, -231.838, -138.438, 239.782, -270.001, -264.642, -9.28144, -231.838, -138.438, -227.872, -269.999, 140.359, -243.108, -231.838, 
267.154, 4.92836, -269.999, 139.446, 226.127, -231.266, -137.846, 238.755, -270.001, -265.554, -7.70027, -231.266, -137.845, -228.898, -269.999, 139.446, -241.527, -231.266, 
